Employee Name,Pay Rate,Hours Worked,Regular Pay,OT Pay,Gross Pay,Fed Tax,State Tax,FICA,Net Pay
Bob,15.50,54,620.00,325.50,945.50,94.55,56.73,28.36,765.86
Anderson,16.00,45,640.00,120.00,760.00,76.00,45.60,22.80,615.60
Jane,16.50,45,660.00,123.75,783.75,78.38,47.02,23.51,634.84
Alice,17.50,40,700.00,0.00,700.00,70.00,42.00,21.00,567.00
Michael,17.75,30,532.50,0.00,532.50,53.25,31.95,15.97,431.32
Jack,15.00,20,300.00,0.00,300.00,30.00,18.00,9.00,243.00
Nelson,17.00,40,680.00,0.00,680.00,68.00,40.80,20.40,550.80
David,17.45,30,523.50,0.00,523.50,52.35,31.41,15.71,424.03
Brandon,17.00,16,272.00,0.00,272.00,27.20,16.32,8.16,220.32
Daisy,17.00,30,510.00,0.00,510.00,51.00,30.60,15.30,413.10
